Dive #,Date (yyyy-mm-dd),Site,Location,Dive Type,Max depth (m),Average depth (m),Bottom Time,Total Time,Gas Mixture,Bottom temp (°C),Surface temp (°C),Vis (m),Current,Wetsuit thickness (mm),Weights (kgs),Tank Type,Buddies,Key Species,
100,2026-1-30,Sponge city,"Závora, Mozambique",Thesis Quadrat,21.4,16.9,41,50,Air,25,27,8,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,,
101,2026-1-30,Area 51,"Závora, Mozambique",Thesis Quadrat,14.6,11.1,56,63,Air,27,27,18,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,,
102,2026-1-30,Witch's Hat,"Závora, Mozambique",Thesis Quadrat,16.2,12.1,40,48,Air,27,27,15,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em, ,
103,2026-2-2,Deans,"Závora, Mozambique",Reciever retrieval,32.0,20.0,20,33,Air,25,27,20,Surge,no wetsuit!,0,Steel,"Nakia, Em, Ed, Giorgi","1x Bull shark (F), 1x Eagle ray (F), 2x Loggerhead Turtle (2F), 1x Potato Bass",
104,2026-2-2,Witch's Hat,"Závora, Mozambique",Thesis SPUE,15.1,11.9,60,64,Air,27,27,25,Surge,no wetsuit!,0,Steel,Em,"1x Glossodoris sp.1, 2 Nembrotha purpeolineata mating, 2 Hypselodoris whitei",
105,2026-2-3,Sponge city,"Závora, Mozambique",Thesis Belt transect/SPUE,22.0,,41,50,Air,27,27,25,Surge,5 shortie,0,Steel,Em,"1x Eagle ray (U), 1x Bluespotted maskray (F)",
106,2026-2-3,Area 51,"Závora, Mozambique",Thesis Belt transect,14.6,,43,51,Air,27,27,18,Surge,5 shortie,0,Steel,Em,1x Hypselodoris pulchella,
107,2026-2-3,Witch's Hat,"Závora, Mozambique",Thesis Belt transect,13.7,,51,58,Air,27,27,8,Surge,5 shortie,0,Steel,Em,"30-40 squid, 1x Hypselodoris yarae, 1x Bluespotted maskray (F)",
108,2026-2-4,Sponge city,"Závora, Mozambique",Thesis Quadrat,21.4,,43,53,Air,26,27,15,Surge,no wetsuit!,0,Steel,Em,"1x Wedgefish (U), 2x Couta",
109,2026-2-4,Area 51,"Závora, Mozambique",Thesis Quadrat,14.7,,44,53,Air,27,27,15,Surge,no wetsuit!,0,Steel,Em,"3x Whitetip Reef Shark (3F), 1x Couta",
